항목,코드군,코드군명,부호,한글명,한글약어,영문약어
거래구분,EXP_DLNG_TPCD,수출거래구분코드,100,화폐 등 지급수단의 수출,지급수단수출,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,101,자유무역지역에서의 수출(GDC 국외반출물품),자유무역지역에서의수출,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,102,수출인도장에서의 보세판매장 국산물품 수출,수출인도장수출,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,103,전자상거래 보세판매장 국산품 수출,보세판매장전자상거래수출,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,104,종합보세구역에서 사용신고수리된 물품을 사용하여 제조한 물품(내국물품과 외국물품 혼용),종합보세구역 제조물품(내국물품과 외국물품 혼용),
거래구분,EXP_DLNG_TPCD,수출거래구분코드,105,종합보세구역에서 사용신고수리된 물품을 사용하여 제조한 물품(외국물품과 외국물품 혼용),종합보세구역 제조물품(외국물품과 외국물품 혼용),
거래구분,EXP_DLNG_TPCD,수출거래구분코드,11,일반형태 수출,일반형태,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,15,전자상거래에 의한 수출물품,전자상거래,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,17,전자상거래 풀필먼트 수출,전자상거래풀필먼트수출,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,21,국내 외국인 투자업체가 외국으로부터 수탁받아 가공후 수출,외투업체수탁가공,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,22,기타 일반업체가 수탁받아 가공후 수출,일반수탁가공,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,29,위탁가공(국외가공)을 위한 원자재수출,위탁가공원자재,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,31,위탁판매를 위한 물품의 수출,위탁판매,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,32,연계무역에 의한 물품의 수출(구상무역 포함),연계무역,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,33,임대방식에 의한 수출(소유권 이전조건),소유권이전임대,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,39,임대방식에 의한 수출(소유권 불이전조건),소유권불이전임대,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,40,임차방식에 의한 수입 후 다시수출되는 물품,임차수입후재수출,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,41,대외 원조수출(정부원조),정부대외원조,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,49,대외 원조수출(민간원조),민간대외원조,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,51,현물차관수출,현물차관,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,59,현물상환수출,현물상환,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,61,해외투자 수출,해외투자,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,69,산업설비,산업설비,
거래구분,EXP_DLNG_TPCD,수출거래구분코드,70,국내보세공장에서 국적취득조건부 나용선으로 건조한 선박에수출,나용선수출,
